window_index,accel_mag_max,accel_mag_p95,gyro_mag_max,gyro_mag_p95,jerk_abs_max,jerk_abs_p95,anomaly_score,is_abnormal
9.200000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
9.300000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
9.400000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
9.500000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
9.600000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
9.700000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
9.800000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
9.900000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
1.000000000000000000e+02,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
1.010000000000000000e+02,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
1.020000000000000000e+02,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
1.030000000000000000e+02,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
1.040000000000000000e+02,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
1.050000000000000000e+02,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
1.060000000000000000e+02,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
1.070000000000000000e+02,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
1.080000000000000000e+02,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
1.090000000000000000e+02,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
1.100000000000000000e+02,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
1.110000000000000000e+02,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
1.120000000000000000e+02,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
1.130000000000000000e+02,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
1.140000000000000000e+02,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
